Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
43_6_FITC.tif	8688b213-b878-43cb-a728-3c76c8b8d121	Cell		Positive	Annotation	Polygon	157.44	825.43	3.7276	14.35	0.2275	7.0457	0.9165	NaN	14.2174	327	6.6055	24	0	24	98.6087	2268	10.7015	112	77	35	1.4783	34	1.997	6	0	6	31.6844	33.2586	0.36	15.9052	3.1382	NaN	13.6582	7.0618	32	0	65.0506	22.6965	112	31	0.6646	1.5252	7	0	13.563	7.1556	32	0	59.3333	18.9347	106	31	0.5259	1.392	7	0	0.1279	4	94.6298	6.2575	363.9945	2.0096	180.722	534.4016
43_6_FITC.tif	ec189e0a-7695-46ef-8953-d1dfb5b8a249	Cell		Positive	Annotation	Polygon	154.61	836.18	10.1473	22.7451	0.2465	11.0408	1.5122	NaN	16.9245	897	5.6495	27	0	27	100.4528	5324	10.7696	120	76	44	1.7547	93	2.48	9	0	9	74.1373	57.2261	0.2845	27.9835	3.6146	NaN	13.3922	6.871	34	0	65.7171	20.5648	120	26	0.6275	1.4929	9	0	12.7763	6.8868	34	0	59.6612	15.1372	106	26	0.4309	1.1411	6	0	0.134	3	427.2088	4.3855	1273.5791	3.6618	424.264	842.7476
43_6_FITC.tif	be1d87a1-e926-421c-8d57-1c89ca52691b	Cell		Positive	Annotation	Polygon	156.36	831.58	0.8283	5.6074	0.3311	2.7419	0.3816	NaN	22.4	112	6.3482	28	15	13	96.8	484	3.4928	101	92	9	0	0	0	0	0	0	2.6921	11.6599	0.2488	5.7426	0.6556	NaN	20.9333	6.1698	30	12	92.0667	8.2934	103	77	0.0667	0.2582	1	0	20.2	6.2858	30	12	89.7	9.1049	103	77	0.1	0.3162	1	0	0.2124	3	4.3611	3.6618	7.4118	2.0096	5.1061	5.7804
43_6_FITC.tif	c9a613a5-bf3a-4915-8352-b75e9e403d13	Cell		Positive	Annotation	Polygon	158.77	831.69	1.6567	6.7662	0.4547	3.2328	0.7053	NaN	13.3	133	6.4127	21	5	16	107	1070	8.5765	119	93	26	1.7	17	2.4518	7	0	7	9.526	20.7109	0.2791	10.1722	1.3519	NaN	7.82	6.4577	24	0	71.38	28.3296	119	31	0.76	2.0057	10	0	6.45	5.7688	24	0	62.475	24.1809	117	31	0.525	1.8396	10	0	0.1251	5	76.4489	5.822	362.2738	3.4094	283.9866	1156.9791
43_6_FITC.tif	50bd83e1-5011-4387-9582-5aaa86d44b8e	Cell		Positive	Annotation	Polygon	157.52	844.94	10.9756	20.7152	0.3214	8.9884	1.9887	NaN	7	406	5.5504	20	0	20	109.1207	6329	14.4466	133	70	63	1.5517	90	2.3781	9	0	9	35.8261	39.0462	0.2953	18.3422	2.4245	NaN	8.4637	6.5662	24	0	73.7933	30.524	133	32	0.5754	1.5502	9	0	9.1653	6.913	24	0	56.8595	19.7625	114	32	0.1074	0.4435	3	0	0.2887	8	320.1198	6.6169	1269.3987	2.3448	310.6105	1046.3214
43_6_FITC.tif	8a06c2d0-966a-44ee-8226-37c2cfea3ee6	Cell		Positive	Annotation	Polygon	158.73	837.23	0.6213	4.3261	0.4172	2.0537	0.478	NaN	5	25	1.5811	7	3	4	105.6	528	5.8566	112	98	14	0.4	2	0.5477	1	0	1	1.4496	6.588	0.4197	3.149	0.6904	NaN	6.3333	2.7386	11	3	100.3333	8.4113	112	87	0.2222	0.441	1	0	8	3.1623	11	4	93.75	6.2383	102	87	0	0	0	0	0.4092	3	3.2498	3.5472	3.6507	2.5514	2.0298	2.9729
43_6_FITC.tif	5ad2e18f-e7b6-4fd6-8e7f-32776cf6d85a	Cell		Positive	Annotation	Polygon	160.1	841.82	5.7984	14.8694	0.3296	7.0797	1.0873	NaN	12	372	7.019	24	0	24	95.5806	2963	9.698	115	81	34	2.1613	67	3.7956	15	0	15	47.0088	46.4297	0.274	22.7782	3.007	NaN	9.6197	6.5979	26	0	59.3077	19.1603	115	25	0.5641	1.7549	15	0	9.2562	6.4726	26	0	53.7685	13.2941	98	25	0.3202	0.9805	7	0	0.1175	5	326.0994	7.1922	1258.2849	2.3448	33790.0781	200527.5938
43_6_FITC.tif	b3956830-4a46-48ad-af26-390fa9d27ba0	Cell		Positive	Annotation	Polygon	503.81	942.39	3.5205	10.219	0.4236	4.8709	0.938	NaN	38.35	767	7.5552	50	22	28	91.7	1834	4.6915	100	82	18	1.7	34	1.8666	6	0	6	73.1018	44.6641	0.4605	21.0118	4.3488	NaN	23.2147	10.0022	55	0	55.6893	17.1989	100	27	0.5537	1.7919	17	0	22.3084	9.3922	55	0	53.5329	15.1579	97	27	0.485	1.7667	17	0	0.0458	6	480.6734	360.6491	1138.5549	330.0819	58477.1953	200527.5938
43_6_FITC.tif	7b37475f-49e9-4ceb-bda9-a33316ba2573	Cell		Positive	Annotation	Polygon	634.17	1245.8	5.5914	14.3088	0.3432	6.6488	1.4123	NaN	17.129	531	6.7564	29	1	28	104.6452	3244	9.6663	116	82	34	2.4839	77	2.7673	10	0	10	61.0908	49.5216	0.313	23.8731	3.3134	NaN	13.3186	7.3827	30	0	64.9051	21.9866	116	26	1.0881	2.4783	15	0	12.8712	7.3354	30	0	60.2386	17.9367	114	26	0.9242	2.3949	15	0	0.0899	5	632.8129	863.3126	1096.8788	1.4038	50140.8555	158500.0469
43_6_FITC.tif	452fce22-9786-40ca-b273-f20900f9c906	Cell		Positive	Annotation	Polygon	636.84	1245	5.3843	15.9574	0.2657	7.8583	0.9724	NaN	16.1429	452	8.7969	32	3	29	104.8571	2936	12.8025	127	83	44	3.7857	106	4.549	13	0	13	49.4939	49.2194	0.2567	24.0008	2.6184	NaN	13.0083	7.3924	32	0	62.1818	20.2011	127	25	0.7686	2.2324	13	0	12.5981	7.1106	30	0	56.5981	13.0469	98	25	0.3738	1.2893	9	0	0.1045	4	629.1276	708.8904	1097.3258	1.4038	2249.5183	5786.9414
