Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
88_6_FITC.tif	48d29b40-32e2-4c50-b35e-dc94b56e9436	Cell		Positive	Annotation	Polygon	326.48	1027.9	12.6323	25.1463	0.251	12.2352	1.7001	NaN	3.1231	203	4.375	21	0	21	86.7846	5641	22.5399	123	40	83	3.1846	207	4.3333	21	0	21	69.5814	55.0396	0.2886	26.7029	3.7982	NaN	1.4793	2.6138	21	0	38.4823	29.0624	123	5	0.7959	2.375	21	0	1.0879	1.778	8	0	26.9817	15.3827	107	5	0.2271	0.9392	8	0	0.1851	5	90.304	7.6521	220.6276	2.3495	137.4358	281.9545
88_6_FITC.tif	47853cfd-af3d-4dc7-8ec3-bc30f0b1c884	Cell		Positive	Annotation	Polygon	322.8	1023.6	4.9701	15.1112	0.2735	7.3213	1.2676	NaN	1.8438	59	2.7837	11	0	11	71.9688	2303	11.0087	87	49	38	2	64	2.7591	11	0	11	36.4474	35.7003	0.3594	16.5909	3.5582	NaN	0.7263	1.8045	11	0	33.933	24.2921	87	6	0.486	1.4625	11	0	0.483	1.4111	8	0	25.6531	17.5385	79	6	0.1565	0.616	5	0	0.1372	7	175.1391	187.3712	424.3438	1.4741	2717.2891	11909.3115
88_6_FITC.tif	0b0c50c8-7387-4ef4-9d32-1704743105c9	Cell		Positive	Annotation	Polygon	324.62	1028.1	0.8283	5.6075	0.331	2.742	0.3816	NaN	2.6	13	3.5777	7	0	7	81.2	406	5.8481	87	75	12	0.6	3	1.3416	3	0	3	1.2425	6.1932	0.4071	2.9768	0.5054	NaN	1.625	3.0208	7	0	78.5	7.1913	87	66	0.375	1.0607	3	0	0	0	0	0	74	8	82	66	0	0	0	0	0.5155	4	56.7692	3.241	219.1207	1.4741	86.9835	198.1622
88_6_FITC.tif	b47dfbd9-fee1-48a1-bf13-a06a14e75003	Cell		Positive	Annotation	Polygon	321.98	1036	5.5914	13.9521	0.3609	6.256	1.3365	NaN	2.4839	77	3.6412	12	0	12	67.2581	2085	10.9847	85	41	44	2.5484	79	3.4625	12	0	12	42.0387	36.8571	0.3889	17.0687	3.3126	NaN	1.3835	2.4201	12	0	33.5971	18.5866	85	11	0.6408	1.8681	12	0	1.1886	2.0882	8	0	27.6343	12.1893	71	11	0.3029	1.132	8	0	0.1405	7	126.7991	182.0214	260.7166	1.6952	1391.1234	5191.1543
88_6_FITC.tif	8d9ba8f4-53d2-44be-bdb9-88544e377f76	Cell		Positive	Annotation	Polygon	324.27	1033.4	2.278	9.2566	0.3341	4.5458	0.6581	NaN	1.1667	14	1.5859	5	0	5	80.8333	970	6.1914	89	69	20	1.25	15	1.8153	5	0	5	5.3843	14.9449	0.3029	7.3316	1.0793	NaN	0.75	1.3506	5	0	75.3214	11.8229	91	53	0.8571	1.4836	5	0	0.4375	1.0935	4	0	71.1875	13.4522	91	53	0.5625	1.1529	4	0	0.3538	5	3.8534	4.1325	5.5811	1.6952	3.9442	5.3715
88_6_FITC.tif	1f3b290f-9c1b-4175-99bf-9a5727f6b3f4	Cell		Positive	Annotation	Polygon	325.34	1042.7	6.8339	12.8795	0.5177	6.0006	1.396	NaN	2.5278	91	3.3593	15	0	15	80.5278	2899	16.681	110	54	56	2.5833	93	3.3584	15	0	15	40.382	30.6184	0.5413	14.1067	4.105	NaN	0.9798	2.0351	15	0	38.6768	23.6157	110	10	0.601	1.779	15	0	0.6358	1.3999	7	0	29.3765	11.9684	81	10	0.1605	0.5889	5	0	0.16	7	155.4473	225.678	298.8585	5.5811	1454.7245	8524.0078
88_6_FITC.tif	98b9e7be-bf4a-455e-a942-8f597100c341	Cell		Positive	Annotation	Polygon	242.1	1196	6.0055	14.1256	0.3782	6.7058	1.3497	NaN	9.4062	301	8.5378	30	0	30	63.2188	2023	17.765	94	30	64	9.6875	310	8.5626	30	0	30	85.32	48.8182	0.4499	23.035	4.763	NaN	1.2131	3.5291	30	0	17.1937	16.2134	94	2	1.23	3.6779	30	0	0.5249	1.1954	7	0	13.3281	8.1179	46	2	0.5197	1.4682	10	0	0.0659	8	307.4855	186.6931	649.3325	62.8025	8095.2695	32530.9551
88_6_FITC.tif	28931835-d94d-4e21-9242-a199dc01b056	Cell		Positive	Annotation	Polygon	281	1245.4	2.485	9.1263	0.3749	4.3437	0.8679	NaN	1.625	26	3.2016	10	0	10	110.125	1762	5.4635	121	105	16	1.5625	25	3.0325	9	0	9	44.3167	43.5418	0.2937	21.0059	2.6403	NaN	1.659	2.5356	10	0	87.6544	14.8251	121	45	0.8848	1.7978	9	0	1.6617	2.4849	10	0	85.8657	13.839	113	45	0.8308	1.6617	8	0	0.0577	6	173.8487	179.3133	314.8739	1.0747	3582.8918	7984.8677
88_6_FITC.tif	20daac30-c431-45b2-8dad-57b4dbbc75c7	Cell		Positive	Annotation	Polygon	283.37	1245.2	1.4496	7.5905	0.3162	3.6438	0.6058	NaN	0.0909	1	0.3015	1	0	1	103	1133	2.5298	107	99	8	0.1818	2	0.4045	1	0	1	39.1395	41.1966	0.2898	20.0132	2.485	NaN	0.8691	1.8089	9	0	83.0262	14.6102	114	54	0.8272	1.6722	9	0	0.9167	1.8517	9	0	81.8056	14.1493	114	54	0.8667	1.7123	9	0	0.0374	6	122.8287	79.4725	305.5655	1.0747	1418.7567	3916.2859
88_6_FITC.tif	f180bb6f-7f3a-4c8e-a0fb-39232a46ab82	Cell		Positive	Annotation	Polygon	309.89	1290.8	1.8638	6.3421	0.5823	2.9059	0.599	NaN	1	9	1.5	4	0	4	77.8889	701	2.7588	82	75	7	0.8889	8	1.3642	4	0	4	38.9324	30.1702	0.5375	13.9029	3.7763	NaN	0.6032	1.4052	11	0	60.2751	14.15	85	23	0.619	1.4265	10	0	0.5833	1.4018	11	0	59.3944	13.9129	85	23	0.6056	1.4319	10	0	0.0318	5	122.4377	55.559	260.7166	6.4418	1052.5665	3873.7668
