Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	500.24	118.03	14.9015	16.493	0.6884	6.8493	3.4049	0.8523	3.4091	150	3.1499	14	0	14	68.2273	3002	15.5142	101	41	60	2.8409	125	2.9957	13	0	13	169.7981	47.0593	0.9635	16.4534	12.5243	0.6456	4.1875	2.6566	14	0	31.1597	15.318	101	13	0.3681	1.2983	13	0	4.2758	2.5847	13	0	26.9562	7.7873	52	13	0.0876	0.3256	2	0	0.0904	7	203.1925	162.8762	296.2636	121.3296	5753.8501	12996.0068
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	203.5	141.65	2.745	5.9217	0.9837	2.1896	1.6195	0.3531	4.2222	38	1.5635	7	2	5	50.8889	458	5.036	57	43	14	1.6667	15	2.1213	5	0	5	46.6651	25.1458	0.9274	9.4549	6.9338	0.6442	5.1157	1.9459	11	1	28.595	12.2124	64	15	0.6612	1.8599	12	0	5.1875	1.9615	11	1	26.8036	10.7643	64	15	0.5804	1.824	12	0	0.0527	3	145.6106	138.0702	296.2636	2.4979	216.5655	301.0886
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	207.49	146.28	7.4507	12.928	0.5602	5.8083	1.7105	0.9469	5.9583	143	4.4083	18	0	18	50.2083	1205	13.6126	81	35	46	3.9167	94	5.1661	18	0	18	110.1923	44.8107	0.6896	15.9294	9.757	0.8402	6.1028	2.1837	18	0	24.5816	9.9634	81	14	0.4858	1.9242	18	0	6.1163	1.8635	13	1	22.1977	4.9922	45	14	0.1667	0.6771	6	0	0.0669	4	126.163	103.6678	294.8186	2.4979	3096.0681	7932.501
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	257.14	194.94	21.5679	20.0338	0.6753	8.1634	3.5523	0.9069	4.3729	258	4.4096	18	0	18	74.661	4405	20.544	118	34	84	4.5085	266	4.7466	18	0	18	193.7189	50.765	0.9446	18.6135	13.2542	0.6963	2.5172	2.1622	18	0	30.4384	18.6475	118	15	0.6343	2.1953	18	0	2.2661	1.4787	6	0	24.4541	6.1218	63	15	0.1101	0.3975	4	0	0.1109	7	138.5851	113.5387	254.4742	70.8587	5529.3823	12996.0068
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	595.46	193.27	5.0979	9.4441	0.7183	3.9711	1.7447	0.887	11.625	186	4.6458	20	5	15	62.3125	997	6.5086	77	51	26	3.8125	61	4.1668	13	0	13	123.5252	39.8192	0.979	14.1262	11.4335	0.5644	9.788	2.3223	20	3	38.9557	11.345	77	17	0.4209	1.5927	13	0	9.69	2.0997	18	3	37.71	10.1352	62	17	0.24	1.0737	9	0	0.0422	4	87.759	92.8667	121.3296	43.9732	3112.1086	6521.6401
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	637.56	205.46	3.5293	7.2818	0.8364	2.6601	1.867	0.6943	10.7273	118	10.1891	36	2	34	42.4545	467	16.7771	79	22	57	11	121	12.0416	39	0	39	108.2316	37.0431	0.9912	12.6939	11.202	0.4089	3.6245	3.2083	36	0	11.9639	8.037	79	4	0.5957	3.1489	39	0	3.3308	2.1499	9	0	10.703	4.0579	26	4	0.1654	0.4199	2	0	0.0326	5	85.1174	72.9	162.8762	43.9732	1346.3481	2564.407
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	435.45	245.55	2.745	5.9217	0.9837	2.1896	1.6195	0.3531	16.5556	149	12.9336	43	5	38	60.1111	541	18.9963	94	42	52	12.6667	114	13.9104	40	0	40	102.3494	35.904	0.9977	11.8315	10.6456	0.3218	8.4313	4.4153	43	1	23.8282	10.3363	94	10	0.4924	3.3594	40	0	8.1423	3.527	15	1	22.5375	7.1071	38	10	0.0593	0.2528	2	0	0.024	5	149.1348	143.0553	227.3325	82.326	9208.0703	12996.0068
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	695.26	249.97	4.3136	6.8808	1	2.4166	1.8289	0.6847	21.4545	236	23.2093	78	0	78	92.0909	1013	30.7651	154	51	103	22.0909	243	23.2269	78	0	78	81.1737	33.7345	0.8963	12.061	8.7514	0.6803	4.7725	6.6616	78	0	23.3554	19.7759	154	6	1.2133	7.0594	78	0	3.855	1.8793	9	0	19.575	9.4669	55	6	0.065	0.2471	1	0	0.0373	3	39.0256	37.5912	72.9	6.5856	181.2519	239.4062
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	689.42	256.38	8.6272	11.6309	0.8014	4.5969	2.6849	0.8268	8.2	205	7.2457	26	1	25	78.24	1956	19.1709	120	48	72	6.64	166	7.7829	27	0	27	114.1137	39.5099	0.9186	14.0835	10.0403	0.7097	5.4793	2.8262	26	0	30.2034	19.3424	120	7	0.7724	3.0161	27	0	5.2226	1.79	12	0	25.6717	11.7054	59	7	0.2189	0.9401	9	0	0.0727	6	60.0987	74.7384	88.4846	6.5856	1435.5627	2564.407
90C_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	515.02	266.85	5.8822	8.4346	1	3.0112	2.414	0.4619	20.5625	329	17.0801	50	0	50	108.6875	1739	30.5979	155	67	88	19.4375	311	19.4832	53	0	53	115.6823	38.2463	0.9938	12.7979	11.2718	0.324	6.7331	5.521	50	0	31.6858	20.9208	155	18	1.1757	6.2134	53	0	5.9429	2.2249	10	0	27.2857	7.2792	67	18	0.1321	0.4404	3	0	0.0422	6	91.1434	91.0059	149.5304	24.0913	3536.7866	6521.6401
