Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	486.95	150.99	12.1564	15.3152	0.6513	5.9263	2.8544	0.9006	1.3714	48	2.6688	9	0	9	39.1714	1371	10.3113	62	15	47	1.2571	44	2.6936	9	0	9	103.918	40.752	0.7863	15.9844	8.4894	0.8623	0.6604	1.3548	9	0	12.4142	13.1336	62	1	0.3694	1.181	9	0	0.5536	0.9904	4	0	8.3948	7.6614	49	1	0.2361	0.6366	4	0	0.1139	6	216.2787	299.2016	354.2379	4.8151	10986.1787	33620.543
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	493.97	153.83	18.4307	20.0113	0.5784	7.6824	4.6014	0.766	1.62	81	2.842	13	0	13	42.64	2132	8.616	57	27	30	1.48	74	2.6591	13	0	13	86.6637	43.9144	0.5647	15.684	10.863	0.7157	0.6947	1.5775	13	0	17.2566	15.836	57	2	0.354	1.3979	13	0	0.4318	0.7899	3	0	10.0455	8.0781	46	2	0.0341	0.2596	3	0	0.2133	3	101.3482	4.8151	294.4982	4.7314	459.6466	693.3623
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	500.46	150.01	7.8429	10.5378	0.8875	3.947	2.5203	0.7216	0.9091	20	2.4085	11	0	11	32.6818	719	7.9306	52	21	31	1	22	2.6004	12	0	12	67.4487	31.2757	0.8665	12.2443	7.4567	0.8005	0.1808	0.93	11	0	9.6554	10.047	52	2	0.1864	1.0024	12	0	0.0774	0.3329	2	0	6.3871	4.5045	35	2	0.071	0.344	2	0	0.11	5	175.4178	265.9274	301.5614	4.7314	8994.9688	22928.5664
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	148.95	250.87	13.3329	13.4518	0.9259	4.8377	3.5013	0.7221	2.027	75	2.5657	8	0	8	45.2162	1673	5.7597	62	35	27	0.4054	15	1.4036	6	0	6	149.7988	43.5455	0.9927	14.3392	13.1378	0.3805	2.2801	2.3761	9	0	23.9764	13.0731	62	3	0.1335	0.6444	6	0	2.3072	2.3572	9	0	21.6986	11.493	44	3	0.1043	0.4949	5	0	0.084	5	137.7932	94.6949	354.2379	61.6701	4010.1628	15567.4814
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	742	257.09	8.6272	10.1264	1	3.605	2.8663	0.678	0.1364	3	0.4676	2	0	2	29.0455	639	2.4972	33	24	9	0.1364	3	0.4676	2	0	2	127.0545	40.0353	0.9961	13.3203	11.8981	0.3418	0.1415	0.4697	3	0	16.6954	7.2207	33	4	0.1938	0.5522	3	0	0.1419	0.4707	3	0	15.7987	6.6019	29	4	0.198	0.5583	3	0	0.057	3	162.4314	150.3466	265.9274	71.0203	11153.1699	19981.7617
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	148.19	312.82	19.9993	19.4361	0.6653	7.5569	4.2986	0.8354	1.8596	106	3.2538	18	0	18	44.4737	2535	11.2759	73	25	48	1.5965	91	3.4219	19	0	19	185.876	49.4128	0.9567	17.3173	13.7767	0.587	0.7637	1.7602	18	0	18.23	12.6471	73	1	0.3776	1.3851	19	0	0.6139	1.3823	9	0	14.6427	7.5816	38	1	0.211	0.6113	4	0	0.1136	3	45.8463	60.546	61.6701	15.3228	832.5915	1828.9846
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	742.58	328.18	29.0186	22.5049	0.72	8.5518	4.2331	0.8676	0.5443	43	1.3941	7	0	7	35.3418	2792	7.7143	48	17	31	0.3924	31	1.091	7	0	7	211.3653	52.7522	0.9545	18.382	14.0556	0.6239	0.363	0.8773	7	0	11.1463	12.3238	48	0	0.3074	0.762	7	0	0.3319	0.7521	4	0	7	7.0781	32	0	0.2928	0.6907	4	0	0.1424	2	81.3992	81.3992	91.7782	71.0203	2324.5771	2324.5771
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	140.92	326.07	4.7057	8.1544	0.8893	2.9878	2.0326	0.7005	7.3571	103	12.4999	30	0	30	49.3571	691	17.3587	84	33	51	7.1429	100	12.4397	30	0	30	114.1137	38.0242	0.9918	12.7358	11.2718	0.396	0.8213	3.1844	30	0	17.3814	13.3047	84	0	0.5567	3.1072	30	0	0.491	1.0094	7	0	15.7653	10.8313	39	0	0.2238	0.7375	7	0	0.0374	5	40.3865	28.1396	75.4999	15.3228	698.278	2497.7744
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	207.35	325.36	4.3136	6.8808	1	2.4166	1.8289	0.6847	28.5455	314	27.4931	91	0	91	104.4545	1149	37.6414	175	52	123	34.0909	375	30.6674	100	0	100	105.4866	36.598	0.9897	12.319	10.6456	0.3329	1.4556	7.7385	91	0	15.3222	20.7118	175	3	1.4296	8.9717	100	0	0.305	0.7231	4	0	11.5367	6.2643	47	3	0.0425	0.2373	2	0	0.0291	9	118.2515	81.6281	330.8832	60.546	4126.4736	15567.4814
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	137.82	339.64	25.0972	19.6578	0.8161	7.7145	4.7772	0.7989	0.7538	49	1.4256	6	0	6	49.8308	3239	9.6737	74	32	42	0.7538	49	1.6773	7	0	7	130.9759	42.5185	0.9104	14.699	11.6208	0.5792	0.9525	1.5229	7	0	23.1335	17.2977	74	0	0.2967	0.9517	7	0	1	1.5439	7	0	16.7537	11.7078	52	0	0.1875	0.6296	4	0	0.1889	4	26.8771	14.3103	72.1771	6.7108	214.3505	529.8697
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	135.49	348.64	34.5086	23.1506	0.8091	8.0316	6.3986	0.6148	0.828	77	1.626	6	0	6	39.8817	3709	5.2458	55	25	30	0.3226	30	1.0443	5	0	5	123.9173	47.1168	0.7014	17.4276	10.8546	0.8639	0.5849	1.1798	6	0	22.2421	13.6505	55	1	0.1132	0.5942	5	0	0.4844	0.9215	4	0	14.9511	8.3555	42	1	0.0267	0.1615	1	0	0.2815	3	29.616	6.7108	76.2705	5.8666	99.9658	197.1519
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	128.76	353.39	8.6272	10.3665	1	3.544	2.948	0.6467	0.5217	12	0.9941	3	0	3	37.7826	869	4.5122	44	27	17	0.5652	13	0.7878	2	0	2	83.5266	34.987	0.8575	12.9462	8.5138	0.7365	0.293	0.8769	5	0	16.6558	12.1645	44	1	0.1721	0.5496	5	0	0.2656	0.8606	5	0	14.125	10.1618	40	1	0.125	0.4961	5	0	0.0906	6	71.9044	54.8838	200.6591	5.8666	1593.2762	7499.1392
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	289.06	379.11	4.7057	8.2119	0.8769	3.223	1.8715	0.7738	17.5714	246	21.4322	67	0	67	88.2143	1235	32.0341	152	48	104	18.1429	254	22.4632	70	0	70	112.153	37.8604	0.9832	12.8865	10.6456	0.4434	1.0592	5.9597	67	0	22.1498	17.989	152	7	0.9373	6.1856	70	0	0.2125	0.7991	7	0	18.7619	7.4195	47	7	0.0549	0.3102	2	0	0.0354	5	184.7438	153.9699	302.8613	97.7029	14291.9883	33620.543
52F_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	677.73	392.95	5.0979	7.8605	1	2.8906	2.117	0.7102	16.5714	232	16.2704	48	0	48	57.1429	800	24.8623	103	31	72	10.5	147	15.6684	41	0	41	113.7216	37.8661	0.9967	12.7236	11.2718	0.3911	4.8488	6.0405	48	0	18	13.0714	103	3	0.6082	4.0204	41	0	4.2563	4.3066	16	0	16.0217	8.2926	34	3	0.1083	0.4535	3	0	0.038	4	175.7982	154.9265	301.5614	91.7782	15078.3018	22928.5664
