Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	condition
75C_6_FITC.tif	PathAnnotationObject		Image	Polygon	441.41	350.34	38.0	38.0	100.0	210.03	180922.8	1648.0	Fed
75C_5_FITC.tif	PathAnnotationObject		Image	Polygon	458.52	339.08	19.0	19.0	100.0	124.3	152858.2	1528.9	Fed
86F_6_FITC.tif	PathAnnotationObject		Image	Polygon	520.88	302.79	85.0	85.0	100.0	1547.1	54942.6	961.95	Starved
75F_1_FITC.tif	PathAnnotationObject		Image	Polygon	425.08	257.83	13.0	13.0	100.0	111.31	116789.2	1416.4	Fed
75E_6_FITC.tif	PathAnnotationObject		Image	Polygon	441.08	241.79	16.0	16.0	100.0	135.33	118229.6	1434.7	Fed
76B_1_FITC.tif	PathAnnotationObject		Image	Polygon	404.4	297.69	115.0	115.0	100.0	723.23	159008.5	1629.7	Starved
76A_6_FITC.tif	PathAnnotationObject		Image	Polygon	391.34	316.31	111.0	111.0	100.0	645.43	171978.8	1608.8	Starved
85H_1_FITC.tif	PathAnnotationObject		Image	Polygon	460.06	292.08	60.0	60.0	100.0	401.99	149255.8	1610.6	Starved
85H_2_FITC.tif	PathAnnotationObject		Image	Polygon	451.42	282.94	52.0	52.0	100.0	378.98	137212.2	1490.3	Starved
73F_6_FITC.tif	PathAnnotationObject		Image	Polygon	385.73	321.4	41.0	41.0	100.0	473.86	86524.2	1342.2	Fed
84F_4_FITC.tif	PathAnnotationObject		Image	Polygon	469.93	316.07	29.0	29.0	100.0	270.17	107340.2	1285.3	Starved
75E_1_FITC.tif	PathAnnotationObject		Image	Polygon	399.44	314.0	31.0	31.0	100.0	169.44	182958.2	1821.6	Fed
75D_5_FITC.tif	PathAnnotationObject		Image	Polygon	410.45	298.28	30.0	30.0	100.0	182.62	164272.2	1662.2	Fed
76B_4_FITC.tif	PathAnnotationObject		Image	Polygon	443.79	303.86	113.0	113.0	100.0	769.66	146818.1	1628.5	Starved
76B_5_FITC.tif	PathAnnotationObject		Image	Polygon	420.8	296.23	98.0	98.0	100.0	662.35	147958.0	1596.0	Starved
80C_5_FITC.tif	PathAnnotationObject		Image	Polygon	236.24	338.09	1.0	1.0	100.0	14.59	68520.8	982.38	Starved
80C_4_FITC.tif	PathAnnotationObject		Image	Polygon	291.12	353.68	1.0	1.0	100.0	17.26	57929.6	925.23	Starved
84B_2_FITC.tif	PathAnnotationObject		Image	Polygon	328.58	319.37	57.0	57.0	100.0	965.76	59020.7	917.61	Starved
84B_1_FITC.tif	PathAnnotationObject		Image	Polygon	287.46	310.61	69.0	69.0	100.0	1377.0	50107.5	835.64	Starved
72F_5_FITC.tif	PathAnnotationObject		Image	Polygon	416.34	308.89	29.0	29.0	100.0	296.28	97881.7	1205.9	Fed
84D_2_FITC.tif	PathAnnotationObject		Image	Polygon	425.58	306.4	30.0	30.0	100.0	204.23	146890.4	1547.7	Starved
84D_1_FITC.tif	PathAnnotationObject		Image	Polygon	443.21	336.41	31.0	31.0	100.0	220.17	140802.2	1466.9	Starved
86D_3_FITC.tif	PathAnnotationObject		Image	Polygon	431.44	318.57	87.0	87.0	100.0	553.93	157060.0	1624.2	Starved
86D_4_FITC.tif	PathAnnotationObject		Image	Polygon	426.46	328.86	91.0	91.0	100.0	602.37	151070.0	1621.3	Starved
72C_2_FITC.tif	PathAnnotationObject		Image	Polygon	447.29	297.43	28.0	28.0	100.0	127.09	220316.2	1819.0	Fed
72C_3_FITC.tif	PathAnnotationObject		Image	Polygon	442.85	326.1	24.0	24.0	100.0	102.3	234611.4	1891.2	Fed
75B_4_FITC.tif	PathAnnotationObject		Image	Polygon	479.05	280.44	24.0	24.0	100.0	166.88	143818.8	1663.6	Fed
75B_3_FITC.tif	PathAnnotationObject		Image	Polygon	405.7	337.69	46.0	46.0	100.0	265.39	173328.2	1718.9	Fed
90D_5_FITC.tif	PathAnnotationObject		Image	Polygon	395.37	312.99	28.0	28.0	100.0	221.81	126235.4	1594.5	Starved
90E_1_FITC.tif	PathAnnotationObject		Image	Polygon	502.86	296.65	45.0	45.0	100.0	368.9	121984.9	1470.7	Starved
86F_1_FITC.tif	PathAnnotationObject		Image	Polygon	414.16	304.47	97.0	97.0	100.0	934.58	103790.2	1343.5	Starved
86F_2_FITC.tif	PathAnnotationObject		Image	Polygon	397.54	326.83	106.0	106.0	100.0	1008.6	105095.2	1255.8	Starved
73C_1_FITC.tif	PathAnnotationObject		Image	Polygon	434.5	298.24	6.0	6.0	100.0	52.74	113768.2	1487.3	Fed
