Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area	centroid_x_zeroscaled	centroid_y_zeroscaled	centroid_distances	fly_section_ID	fly_ID	section_ID
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	600.78	196.9	17.6465	18.1972	0.6697	7.5116	3.465	0.8845	13.9	695	8.3867	33	0	33	67.12	3356	10.1973	94	45	49	2.04	102	2.9621	11	0	11	180.7781	48.9513	0.948	17.7712	13.2572	0.6427	14.526	7.238	35	0	36.3723	15.4261	94	11	0.5649	1.5598	11	0	14.6019	7.0939	35	0	32.6408	11.2047	64	11	0.3859	1.1773	10	0	0.1015	5	199.4648	145.2972	436.341	94.0672	6727.6167	11890.46	217.13	-163.93999999999997	272.0694038292435	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	164.63	200.02	5.8822	9.6863	0.7878	3.9386	2.3015	0.6353	13.0556	235	6.0631	26	4	22	56.3889	1015	10.3761	78	41	37	5.1111	92	6.3606	21	0	21	124.3095	39.7551	0.9884	13.5291	11.2718	0.5241	9.8679	5.0438	26	0	30.7987	10.9321	78	4	0.6887	2.1913	21	0	9.6767	4.9227	23	0	29.2633	8.8767	54	4	0.4233	1.242	8	0	0.0445	8	233.5673	177.642	436.341	146.6031	5286.6216	22187.0	-219.01999999999998	-160.81999999999996	271.7219770279908	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	462.34	238.35	5.8822	8.7413	0.9674	3.0311	2.153	0.7048	20.5882	350	3.3177	26	17	9	53.8824	916	3.8223	61	47	14	0.5294	9	1.2307	4	0	4	59.6058	28.3198	0.9339	10.4807	7.756	0.6697	21.539	7.8367	43	5	42.9416	8.7874	62	26	0.4351	1.333	8	0	21.6569	8.2261	43	5	41.5839	8.2664	62	26	0.4234	1.3489	8	0	0.0888	4	114.0155	75.7044	300.4919	4.1613	2609.145	9307.5098	78.69	-122.48999999999998	145.58817328340925	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	466.39	245.4	8.235	10.9225	0.8674	4.088	3.0404	0.6754	14.2917	343	7.8822	28	0	28	54.7917	1315	7.9945	69	41	28	0.75	18	1.8238	6	0	6	68.6251	31.3006	0.8802	12.3858	7.7931	0.7883	13.0955	6.6296	28	0	35.1798	10.3182	69	16	0.309	1.1547	6	0	12.9091	6.4224	28	0	32.1234	6.6198	50	16	0.2403	1.0036	6	0	0.1219	6	116.9042	163.4256	182.6596	4.1613	4488.1665	13898.832	82.74000000000001	-115.43999999999997	142.02922656974513	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	457.45	247.26	16.8622	18.784	0.6005	6.8578	4.0013	0.8483	17.2766	812	9.2494	38	4	34	55.9787	2631	6.0379	71	40	31	0.8085	38	2.0604	9	0	9	120.388	41.8413	0.8641	15.5517	10.5744	0.7605	12.8306	6.6821	38	0	38.9837	10.4758	71	18	0.443	1.3306	9	0	12.0269	5.7727	30	0	35.9115	7.829	55	18	0.3769	1.1442	8	0	0.1438	6	152.9259	174.7278	297.7702	5.39	6737.3823	22187.0	73.80000000000001	-113.57999999999998	135.4505681051209	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	658.91	271.44	12.9407	13.8319	0.85	5.4747	2.7327	0.8467	70.5	2397	8.6873	85	50	35	78.7059	2676	6.1621	92	69	23	0.9706	33	1.8502	6	0	6	151.3674	43.9832	0.9833	15.222	12.5231	0.5619	32.3634	18.1824	85	1	52.0206	15.1	92	12	0.3789	1.2711	8	0	28.7006	14.2073	74	1	49.4576	13.0861	80	12	0.322	1.1893	8	0	0.0813	6	126.0686	122.3736	173.0405	94.0672	2486.2024	5785.8843	275.26	-89.39999999999998	289.4139381577881	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	150.52	345.91	5.49	9.8712	0.708	3.9157	2.2238	0.7988	9.5263	181	4.0739	16	0	16	57.5789	1094	10.0792	82	45	37	2.0526	39	3.5664	13	0	13	129.4073	40.6033	0.9864	13.7029	11.7967	0.4437	8.6798	4.7246	22	0	34.571	11.004	82	13	0.432	1.4219	13	0	8.6282	4.7621	22	0	33.1699	9.3966	67	13	0.3333	1.1131	8	0	0.0448	4	68.2022	56.2602	146.6031	13.6852	2148.0481	5671.1973	-233.12999999999997	-14.92999999999995	233.60758078452844	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	143.41	357.58	7.4507	9.6266	1.0	3.5583	2.433	0.7512	16.3684	311	10.0952	50	5	45	67.5789	1284	13.318	104	54	50	4.3684	83	8.4275	34	0	34	121.9566	39.2141	0.9966	12.9102	11.2718	0.4182	8.4019	5.6906	50	0	37.0225	12.3765	104	16	0.537	2.5038	34	0	7.8836	4.8765	24	0	35.0342	9.3422	67	16	0.2877	1.1243	10	0	0.0523	5	63.277	44.4679	149.3806	13.6852	1988.9641	5821.7275	-240.23999999999998	-3.259999999999991	240.2621176964858	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	113.12	359.4	5.0979	8.6439	0.8574	3.0587	2.3082	0.7798	7.5333	113	3.9073	15	1	14	56.1333	842	8.6592	74	45	29	1.6667	25	3.4365	10	0	10	80.7816	34.9946	0.8289	12.6376	7.8884	0.791	10.375	4.9416	26	0	37.899	9.1596	74	18	0.6058	1.9358	10	0	10.5959	4.9532	26	0	36.4819	7.5492	59	18	0.5233	1.7562	10	0	0.0621	3	62.9194	18.4376	166.8274	3.4933	341.12	748.3533	-270.53	-1.4399999999999977	270.5338324498435	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	119.94	358.16	2.745	6.0419	0.9449	2.1086	1.7712	0.7795	15.1111	136	8.9225	32	2	30	63.3333	570	10.7935	86	52	34	4.7778	43	7.4963	21	0	21	59.2137	28.9453	0.8881	10.8323	6.8273	0.7807	10.271	6.694	32	0	46.5742	6.8613	86	29	0.5161	2.1872	21	0	9.9726	6.454	29	0	45.5411	5.0064	58	29	0.2534	0.8852	5	0	0.0387	5	50.0613	25.3176	165.2206	3.4933	647.1196	2279.6714	-263.71	-2.67999999999995	263.72361763785966	1_2	1	2
