Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	Object ID	Object type	Classification	condition	fly_section_ID	fly_ID	section_ID
75C_6_FITC.tif	PathAnnotationObject		Image	Polygon	441.41	350.34	38.0	38.0	100.0	210.03	180922.8	1648.0				Fed	75_17	75	17
60E_2_FITC.tif	PathAnnotationObject		Image	Polygon	407.74	330.97	36.0	36.0	100.0	168.72	213374.3	1926.7				Fed	60_22	60	22
24E_F3_2_FITC.tif	PathAnnotationObject		Image	Polygon	383.65	360.84	87.0	87.0	100.0	366.05	237669.9	1998.3				Fed	1_2	1	2
76B_1_FITC.tif	PathAnnotationObject		Image	Polygon	404.4	297.69	115.0	115.0	100.0	723.23	159008.5	1629.7				Starved	76_7	76	7
76A_6_FITC.tif	PathAnnotationObject		Image	Polygon	391.34	316.31	111.0	111.0	100.0	645.43	171978.8	1608.8				Starved	76_6	76	6
88_5_FITC.tif			Root object (Image)	Polygon	383.08	1369.2	169.0	169.0	100.0	141.66	1193019.3	5708.1	fc41411f-d0be-4d49-a2e7-b07d6eb374e4	Annotation		Starved	88_5	88	5
88_4_FITC.tif			Root object (Image)	Polygon	358.75	1348.0	229.0	229.0	100.0	187.26	1222900.3	6197.2	afb812c8-9ce7-40c9-bf12-3bbcab560bc7	Annotation		Starved	88_4	88	4
86D_3_FITC.tif	PathAnnotationObject		Image	Polygon	431.44	318.57	87.0	87.0	100.0	553.93	157060.0	1624.2				Starved	86_18	86	18
55_6_FITC.tif			Root object (Image)	Polygon	411.28	1560.5	16.0	16.0	100.0	10.23	1563734.6	5542.1	ec2b5b31-5c08-4f11-ab8f-7e912fdca26c	Annotation		Fed	55_6	55	6
74_1_FITC.tif			Root object (Image)	Polygon	422.67	1383.2	7.0	7.0	100.0	7.77	900845.2	4281.4	a6269b28-b7bd-492d-a73b-868116f8882c	Annotation		Fed	74_1	74	1
55_7_FITC.tif			Root object (Image)	Polygon	422.89	1680.6	15.0	15.0	100.0	10.32	1453261.9	5526.7	aacb3112-1248-47f1-8030-78db4f8a3d9b	Annotation		Fed	55_7	55	7
