Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area	centroid_x_zeroscaled	centroid_y_zeroscaled	centroid_distances	Object ID	Object type	Classification	fly_section_ID	fly_ID	section_ID
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	431.16	152.82	5.49	8.0218	1.0	2.8602	2.3781	0.6114	3.6667	55.0	4.9087	16.0	0.0	16.0	41.5333	623.0	10.7562	62.0	27.0	35.0	3.6667	55.0	4.7759	15.0	0.0	15.0	114.1137	37.9157	0.9975	12.4886	11.2718	0.294	0.5308	1.5114	16.0	0.0	18.774	7.6807	62.0	6.0	0.2603	1.36	15.0	0.0	0.361	0.7892	4.0	0.0	17.5415	5.1628	28.0	6.0	0.0758	0.3582	3.0	0.0	0.0365	5.0	114.734	81.837	351.0382	15.9458	2145.0256	5813.8784	-10.25	-197.51999999999998	197.78577527213628				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	444.58	156.58	11.3722	14.1223	0.7165	5.1372	3.3231	0.8125	6.1515	203.0	2.551	12.0	2.0	10.0	44.1515	1457.0	4.9061	53.0	33.0	20.0	0.2424	8.0	0.5607	2.0	0.0	2.0	99.6044	38.9777	0.8239	15.0658	8.2229	0.8468	3.0118	3.1241	12.0	0.0	27.0039	10.7372	53.0	3.0	0.0471	0.2905	3.0	0.0	2.545	2.9298	10.0	0.0	24.455	8.8648	44.0	3.0	0.018	0.2119	3.0	0.0	0.1139	5.0	25.0827	15.9458	75.4955	4.9826	155.4801	572.5013	3.169999999999959	-193.75999999999996	193.78592957178284				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	452.2	156.48	19.9993	20.401	0.6038	6.3121	4.7953	0.7094	7.2105	411.0	3.5694	14.0	0.0	14.0	45.9825	2621.0	4.2405	56.0	34.0	22.0	0.1228	7.0	0.4255	2.0	0.0	2.0	87.448	41.0266	0.6529	15.9105	9.0946	0.8695	4.1071	3.6244	14.0	0.0	30.1429	13.3432	56.0	8.0	0.067	0.3543	3.0	0.0	3.0479	2.9855	13.0	0.0	24.7365	10.8424	49.0	8.0	0.0479	0.3258	3.0	0.0	0.2377	3.0	8.1604	4.9826	14.9418	4.5568	11.4363	22.9957	10.789999999999964	-193.85999999999999	194.16004661103682				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	465.84	157.54	14.1172	16.498	0.6518	6.335	3.1753	0.8956	4.2308	165.0	3.9367	16.0	0.0	16.0	44.0769	1719.0	8.3615	63.0	26.0	37.0	1.1538	45.0	2.4011	11.0	0.0	11.0	106.2709	43.7228	0.6986	16.6018	8.9628	0.8066	1.967	2.5225	16.0	0.0	18.619	13.7052	63.0	2.0	0.2491	1.0344	11.0	0.0	1.5897	1.9747	12.0	0.0	14.3761	9.0171	46.0	2.0	0.0983	0.3861	3.0	0.0	0.1278	8.0	20.2204	17.4176	45.5685	3.4697	26.018	64.5575	24.42999999999995	-192.79999999999998	194.3416190629274				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	455.32	163.11	9.4114	12.8552	0.7157	4.6326	2.8269	0.7427	8.1724	237.0	3.219	14.0	1.0	13.0	43.6207	1265.0	3.9768	49.0	34.0	15.0	0.069	2.0	0.2579	1.0	0.0	1.0	77.2523	35.5425	0.7685	13.886	7.941	0.8034	3.7696	3.0915	14.0	0.0	26.6029	11.6891	50.0	10.0	0.0833	0.5041	5.0	0.0	3.04	2.391	9.0	0.0	23.7829	10.0298	50.0	10.0	0.0857	0.5345	5.0	0.0	0.1241	6.0	20.7304	11.979	71.1134	4.5568	121.9538	543.2628	13.909999999999968	-187.22999999999996	187.7460012889755				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	464.56	164.51	6.6664	10.4949	0.7606	4.438	1.7712	0.8873	8.4737	161.0	2.4803	12.0	2.0	10.0	44.2632	841.0	5.6159	53.0	34.0	19.0	0.3158	6.0	0.9459	3.0	0.0	3.0	22.3522	21.4583	0.61	9.447	2.7661	0.9525	4.4098	4.0016	12.0	0.0	30.3934	12.9965	53.0	11.0	0.1148	0.5507	3.0	0.0	2.5714	3.1011	10.0	0.0	24.119	10.1913	48.0	11.0	0.0238	0.1543	1.0	0.0	0.2648	3.0	6.5839	4.3077	11.9743	3.4697	13.7141	20.5629	23.149999999999977	-185.82999999999998	187.26641823882892				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	470.77	167.25	31.3715	22.8548	0.7547	8.6633	5.4628	0.7214	7.3253	608.0	3.1434	16.0	0.0	16.0	41.5181	3446.0	4.8398	58.0	26.0	32.0	0.1807	15.0	0.7831	6.0	0.0	6.0	151.3674	47.4713	0.8441	18.0127	11.3143	0.7534	3.2655	3.7291	16.0	0.0	25.4613	11.8381	58.0	5.0	0.1082	0.517	6.0	0.0	2.1607	3.0517	12.0	0.0	21.0918	9.085	43.0	5.0	0.0885	0.416	3.0	0.0	0.215	6.0	31.0516	17.5046	70.4238	4.3077	206.1338	646.4918	29.359999999999957	-183.08999999999997	185.42911772426677				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	488.95	163.72	12.5486	14.1313	0.7897	5.6015	3.1483	0.8376	2.0833	75.0	2.771	9.0	0.0	9.0	42.2778	1522.0	12.6234	66.0	20.0	46.0	2.0556	74.0	2.7666	9.0	0.0	9.0	153.7202	44.3252	0.9832	15.4855	12.6023	0.5464	0.4478	1.1815	9.0	0.0	13.9822	10.5985	66.0	4.0	0.229	1.0417	9.0	0.0	0.2829	0.6959	3.0	0.0	11.1289	4.3467	29.0	4.0	0.0448	0.2665	2.0	0.0	0.0782	4.0	35.9137	22.7969	78.7095	19.3514	392.5966	842.0342	47.539999999999964	-186.61999999999998	192.58005088793593				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	511.21	166.9	9.4114	12.719	0.7311	4.8849	2.5925	0.8405	3.6538	95.0	5.6352	23.0	0.0	23.0	49.5385	1288.0	13.4141	82.0	27.0	55.0	3.7308	97.0	5.6679	23.0	0.0	23.0	139.2109	42.4608	0.9703	14.6153	11.8876	0.5593	0.4691	1.8558	23.0	0.0	18.5	11.763	82.0	5.0	0.323	1.8107	23.0	0.0	0.2182	0.6622	4.0	0.0	16.0545	7.3143	43.0	5.0	0.0545	0.3262	3.0	0.0	0.0601	6.0	147.4257	157.1303	256.8858	22.6088	4055.3186	9642.8887	69.79999999999995	-183.43999999999997	196.27091888509614				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	449.6	230.4	6.6664	9.7157	0.8875	3.5082	2.4278	0.6766	2.4211	46.0	3.3051	11.0	0.0	11.0	47.6316	905.0	10.1007	65.0	30.0	35.0	2.2105	42.0	3.1195	10.0	0.0	10.0	65.488	30.5551	0.8815	11.118	7.9848	0.6166	0.4412	1.3887	11.0	0.0	19.4882	13.1461	65.0	7.0	0.2765	1.2499	10.0	0.0	0.1921	0.5503	3.0	0.0	15.947	8.3377	55.0	7.0	0.0331	0.2427	2.0	0.0	0.0969	8.0	49.8289	61.7088	81.837	3.7756	517.5414	2170.5554	8.189999999999998	-119.93999999999997	120.21929836760816				75_17	75	17
