Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	condition	fly_section_ID	fly_ID	section_ID
75C_6_FITC.tif	PathAnnotationObject		Image	Polygon	441.41	350.34	38	38	100	210.03	180922.8	1648.0	Fed	75_17	75	17
60E_2_FITC.tif	PathAnnotationObject		Image	Polygon	407.74	330.97	36	36	100	168.72	213374.3	1926.7	Fed	60_22	60	22
24E_F3_2_FITC.tif	PathAnnotationObject		Image	Polygon	383.65	360.84	87	87	100	366.05	237669.9	1998.3	Fed	1_2	1	2
76B_1_FITC.tif	PathAnnotationObject		Image	Polygon	404.4	297.69	115	115	100	723.23	159008.5	1629.7	Starved	76_7	76	7
76A_6_FITC.tif	PathAnnotationObject		Image	Polygon	391.34	316.31	111	111	100	645.43	171978.8	1608.8	Starved	76_6	76	6
86D_3_FITC.tif	PathAnnotationObject		Image	Polygon	431.44	318.57	87	87	100	553.93	157060.0	1624.2	Starved	86_18	86	18
84E_3_FITC.tif	PathAnnotationObject		Image	Polygon	434.36	296.36	28	28	100	192.18	145698.9	1450.7	Starved	84_23	84	23
84E_2_FITC.tif	PathAnnotationObject		Image	Polygon	423.51	324.95	11	11	100	70.33	156404.9	1545.2	Starved	84_22	84	22
72C_5_FITC.tif	PathAnnotationObject		Image	Polygon	412.65	318.85	117	117	100	438.76	266658.4	2083.3	Fed	72_15	72	15
52G_2_FITC.tif	PathAnnotationObject		Image	Polygon	444.47	325.45	14	14	100	65.61	213389.7	1791.2	Fed	52_32	52	32
52G_3_FITC.tif	PathAnnotationObject		Image	Polygon	416.34	328.39	27	27	100	135.8	198816.8	1739.9	Fed	52_33	52	33
73D_2_FITC.tif	PathAnnotationObject		Image	Polygon	408.02	301.42	55	55	100	265.77	206942.7	1824.7	Fed	73_17	73	17
73D_1_FITC.tif	PathAnnotationObject		Image	Polygon	460.9	323.27	52	52	100	225.2	230906.1	1892.8	Fed	73_16	73	16
90C_3_FITC.tif	PathAnnotationObject		Image	Polygon	412.88	321.63	23	23	100	114.64	200630.0	1901.7	Starved	90_13	90	13
90C_2_FITC.tif	PathAnnotationObject		Image	Polygon	418.32	288.07	31	31	100	148.55	208682.1	1864.8	Starved	90_12	90	12
85F_5_FITC.tif	PathAnnotationObject		Image	Polygon	437.31	287.73	55	55	100	341.83	160897.3	1551.3	Starved	85_30	85	30
36D_4_FITC.tif	PathAnnotationObject		Image	Polygon	416.62	334.57	93	93	100	469.41	198122.1	2277.9	Starved	36_19	36	19
84E_1_FITC.tif	PathAnnotationObject		Image	Polygon	444.32	326.31	35	35	100	231.87	150945.5	1487.4	Starved	84_21	84	21
24E_F2_4_FITC.tif	PathAnnotationObject		Image	Polygon	421.95	298.4	74	74	100	325.14	227593.7	2032.8	Fed	25_24	25	24
24C_F1_2_FITC.tif	PathAnnotationObject		Image	Polygon	436.76	308.32	54	54	100	173.72	310852.8	2229.6	Fed	24_2	24	2
24C_F1_3_FITC.tif	PathAnnotationObject		Image	Polygon	440.83	300.61	58	58	100	190.67	304185.7	2382.2	Fed	24_3	24	3
36E_3_FITC.tif	PathAnnotationObject		Image	Polygon	427.45	324.81	73	73	100	378.64	192797.7	2052.0	Starved	36_23	36	23
60E_1_FITC.tif	PathAnnotationObject		Image	Polygon	405.53	338.51	74	74	100	258.8	285934.8	2316.0	Fed	60_21	60	21
60D_5_FITC.tif	PathAnnotationObject		Image	Polygon	393.61	357.75	37	37	100	185.02	199980.0	1799.1	Fed	60_20	60	20
76A_5_FITC.tif	PathAnnotationObject		Image	Polygon	428.22	311.23	98	98	100	624.45	156938.7	1546.7	Starved	76_5	76	5
75D_2_FITC.tif	PathAnnotationObject		Image	Polygon	381.89	304.3	65	65	100	364.96	178100.8	1640.5	Fed	75_19	75	19
75D_1_FITC.tif	PathAnnotationObject		Image	Polygon	405.11	328.25	33	33	100	160.72	205328.6	1777.9	Fed	75_18	75	18
85G_2_FITC.tif	PathAnnotationObject		Image	Polygon	412.96	279.03	83	83	100	505.14	164310.5	1611.1	Starved	85_32	85	32
85G_3_FITC.tif	PathAnnotationObject		Image	Polygon	497.35	282.4	71	71	100	442.28	160533.0	1564.1	Starved	85_33	85	33
24E_F1_3_FITC.tif	PathAnnotationObject		Image	Polygon	470.75	296.48	53	53	100	179.0	296085.7	2432.9	Fed	24_5	24	5
24D_F1_4_FITC.tif	PathAnnotationObject		Image	Polygon	464.65	321.68	67	67	100	210.27	318643.3	2306.9	Fed	24_4	24	4
36E_4_FITC.tif	PathAnnotationObject		Image	Polygon	434.47	336.32	133	133	100	545.02	244026.7	2129.1	Starved	36_24	36	24
52F_1_FITC.tif	PathAnnotationObject		Image	Polygon	417.25	333.36	17	17	100	84.86	200330.0	1790.2	Fed	52_26	52	26
73D_5_FITC.tif	PathAnnotationObject		Image	Polygon	402.26	328.73	24	24	100	122.92	195255.8	1775.8	Fed	73_20	73	20
90C_1_FITC.tif	PathAnnotationObject		Image	Polygon	426.47	313.25	43	43	100	215.18	199830.3	1794.7	Starved	90_11	90	11
86D_1_FITC.tif	PathAnnotationObject		Image	Polygon	424.08	305.24	133	133	100	884.59	150352.6	1652.7	Starved	86_16	86	16
86D_2_FITC.tif	PathAnnotationObject		Image	Polygon	369.69	285.29	137	137	100	871.72	157160.9	1641.8	Starved	86_17	86	17
72D_1_FITC.tif	PathAnnotationObject		Image	Polygon	434.39	325.53	42	42	100	169.85	247283.3	1921.7	Fed	72_16	72	16
72D_2_FITC.tif	PathAnnotationObject		Image	Polygon	426.08	304.94	61	61	100	262.19	232652.9	1904.1	Fed	72_17	72	17
24E_F2_3_FITC.tif	PathAnnotationObject		Image	Polygon	442.56	333.92	45	45	100	187.63	239830.4	2012.2	Fed	25_23	25	23
