Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per px^2	Area px^2	Perimeter px	condition	fly_section_ID	fly_ID	section_ID
85E_5_merge.tif	0e6eb74e-3009-40b4-9d2a-4c30fbd61ff7	Annotation			Root object (Image)	Polygon	794.42	513.02	10.0	10.0	100.0	0.0	396063.1	2755.2	Starved	85_25	85	25
76B_1_merge.tif	df0d21e9-1623-45d0-a3e4-d693874f639b	Annotation			Root object (Image)	Polygon	658.75	474.1	2.0	2.0	100.0	0.0	442338.0	2627.3	Starved	76_7	76	7
89_2_merge.tif	88aae0b3-96a4-49ed-88e2-8f03911deb75	Annotation			Root object (Image)	Polygon	2106.7	1444.9	54.0	54.0	100.0	0.0	4112249.4	8048.2	Starved	89_2	89	2
43_9_merge.tif	f61438e1-1faa-4e5e-af5f-6495d0cadb05	Annotation			Root object (Image)	Polygon	1835.3	1553.4	6.0	6.0	100.0	0.0	7205317.5	11319.3	Fed	43_9	43	9
86D_2_merge.tif	9668f985-0608-400b-bbf1-a1a714693af4	Annotation			Root object (Image)	Polygon	564.47	449.05	32.0	32.0	100.0	0.0001	411532.5	2743.0	Starved	86_17	86	17
88_6_merge.tif	bbc2342e-a114-4655-8e38-88c2e4dfb3f2	Annotation			Root object (Image)	Polygon	2416.3	1607.3	48.0	48.0	100.0	0.0	3631098.8	7421.2	Starved	88_6	88	6
85F_2_merge.tif	67ce6422-835c-4af0-9379-5db691eea913	Annotation			Root object (Image)	Polygon	724.44	438.12	50.0	50.0	100.0	0.0001	418967.3	2822.2	Starved	85_27	85	27
89_4_merge.tif	41c82681-83a3-413b-bd09-8a9b9a955e9a	Annotation			Root object (Image)	Polygon	2381.1	1615.8	33.0	33.0	100.0	0.0	3433601.5	7435.4	Starved	89_4	89	4
90C_2_merge.tif	a540d13b-ee71-43e9-b216-0ac9cdedb9f0	Annotation			Root object (Image)	Polygon	665.53	462.63	13.0	13.0	100.0	0.0	560752.8	3051.9	Starved	90_12	90	12
71_14_merge.tif	4f133dc7-9b58-4eab-9ce7-c208227a35c4	Annotation			Root object (Image)	Polygon	2066.2	1607.4	85.0	85.0	100.0	0.0	5373334.0	9396.6	Fed	71_14	71	14
52_19_merge.tif	a96583bd-9e99-4a0d-906a-aef9db43f44d	Annotation			Root object (Image)	Polygon	594.28	528.9	1.0	1.0	100.0	0.0	432655.4	2543.3	Fed	52_19	52	19
