Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Channel 1 mean	Nucleus: Channel 1 sum	Nucleus: Channel 1 std dev	Nucleus: Channel 1 max	Nucleus: Channel 1 min	Nucleus: Channel 1 range	Nucleus: Channel 2 mean	Nucleus: Channel 2 sum	Nucleus: Channel 2 std dev	Nucleus: Channel 2 max	Nucleus: Channel 2 min	Nucleus: Channel 2 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
71_16_merge.tif	ea81f16a-3f5f-4355-a3e3-03e70e4bfa15	Cell		Positive	Annotation	Polygon	1398.2	432.04	178	59.928	0.6228	25.3251	9.9668	0.9204	64.4153	11788	17.7897	96	0	96	35.0984	6423	17.9811	90	6	84	513	87.4256	0.8434	34.3895	19.0641	0.8392	24.9688	32.4458	96	0	33.3119	25.2481	120	2	3.0939	10.851	47	0	32.3212	28.4681	120	2	0.3498	6	875.4285	909.4857	1120.5612	532.5474	183203.5781	373578.2812
71_16_merge.tif	fe5dce20-cfb9-40ec-85a6-647beb091fa2	Cell		Positive	Annotation	Polygon	941.34	705.86	33	20.7982	0.9587	6.9374	6.0856	0.4604	52.6111	1894	34.4153	115	0	115	21.4722	773	7.6026	37	11	26	186	48.4616	0.9952	15.7132	14.9993	0.1999	10.0745	25.5442	115	0	22.0957	9.1126	48	4	0	0	0	0	22.2434	9.4512	48	4	0.1738	3	407.3816	399.0832	532.5474	290.5142	75651.0859	106254.9219
71_16_merge.tif	7af2717d-7733-47b0-9339-ad995a212e9c	Cell		Positive	Annotation	Polygon	837.62	976.24	101	45.4302	0.615	18.6511	8.028	0.9197	89.8476	9434	39.7044	180	37	143	46.981	4933	15.1162	90	21	69	310	73.3596	0.7239	27.6745	14.8296	0.8782	38.9137	48.965	180	0	47.8275	16.0878	91	16	13.2019	29.0082	174	0	48.2548	16.5756	91	16	0.328	4	460.8822	301.5597	1229.6947	10.7147	15855.9414	45047.2539
71_16_merge.tif	003b7d4b-d0a9-488c-8d70-6c13f8756801	Cell		Positive	Annotation	Polygon	835	989.36	99	35.7133	0.9754	11.9436	10.5557	0.4066	86.5096	8997	36.2194	173	40	133	77.8942	8101	19.8675	128	36	92	256	58.5068	0.9398	20.3922	15.3486	0.6381	41.4514	46.9992	173	0	78.8055	32.6383	160	28	10.8235	22.3157	121	0	79.4248	39.0601	160	28	0.3758	6	616.6413	525.0474	1219.0697	10.7147	43282.7461	91304.3203
71_16_merge.tif	c87f42a4-9878-4bec-9964-035b1319a3b9	Cell		Positive	Annotation	Polygon	1141.8	1050.9	250	56.9525	0.9686	19.5522	16.4401	0.5166	88.9094	22583	26.4704	134	39	95	45.0079	11432	28.1322	110	3	107	558	84.5144	0.9817	28.6237	25.3834	0.4232	43.8342	46.1036	134	0	26.1515	26.298	110	0	6.5407	15.1228	60	0	10.5505	8.4837	40	0	0.449	6	359.4777	312.5111	669.9473	215.6512	47457.0352	106254.9219
71_16_merge.tif	ffd32c54-031f-40df-a4e4-3477ff5f60b5	Cell		Positive	Annotation	Polygon	1317.4	1175.8	75	32.2499	0.9062	12.4576	8.3462	0.7389	78.4103	6116	30.141	139	38	101	14.6795	1145	8.5774	37	2	35	275	59.9836	0.9605	21.2635	16.9706	0.6225	23.0324	38.6599	139	0	14.9532	8.6192	39	1	1.435	7.6201	53	0	15.06	8.6545	39	1	0.2646	5	484.0429	503.1458	748.1064	215.6512	117313.6406	267183.375
71_16_merge.tif	4f2fb3e2-22ad-430b-956a-c70746bb6c50	Cell		Positive	Annotation	Polygon	1120.2	1297.1	48	26.3968	0.8657	9.7595	6.3947	0.7615	39.2963	2122	16.7969	62	0	62	36.7593	1985	9.5896	58	22	36	227	54.1529	0.9727	18.3747	15	0.5217	13.5345	20.5523	62	0	40.1595	22.3377	115	11	5.7191	14.2436	48	0	41.191	24.8811	115	11	0.2113	5	349.2664	411.1953	435.9713	231.7383	56201.5898	91304.3203
71_16_merge.tif	29f68852-d29d-4ca6-b623-1b281c085350	Cell		Positive	Annotation	Polygon	2016.6	1354.7	338	72.3689	0.811	25.0089	18.9848	0.6237	157.7267	54258	48.6618	233	54	179	10.3953	3576	5.5581	29	1	28	726	99.4768	0.9219	34.6953	27.7547	0.5712	86.978	77.9222	233	0	11.8626	6.461	37	1	23.599	29.6937	109	0	13.1771	6.9214	37	2	0.4685	8	787.2164	767.4194	1110.5436	407.1414	221829.375	444479.4375
71_16_merge.tif	494e1c75-0a84-46d6-8807-13ef78b883b7	Cell		Positive	Annotation	Polygon	2508.9	584.59	207	66.1431	0.5946	27.2486	10.5584	0.9118	52.0521	10983	14.4338	94	0	94	64.7536	13663	19.3087	135	36	99	561	92.0635	0.8318	36.513	19.5844	0.8368	20.6909	26.6997	94	0	63.4476	18.9842	135	26	1.892	8.4334	47	0	62.6648	18.7711	129	26	0.367	5	665.9813	670.282	1120.5612	187.3056	42943.7109	98576.7969
71_16_merge.tif	37a836ac-375d-4302-a5c9-843c0b94f30f	Cell		Positive	Annotation	Polygon	2421.2	749.74	214	58.8279	0.7771	22.9233	13.1413	0.827	77.8624	16974	23.7568	126	37	89	82.8165	18054	33.2479	157	28	129	533	85.9616	0.9064	32.2581	21.9966	0.7353	34.416	40.3693	126	0	77.1847	34.2006	157	19	4.6321	13.2701	53	0	73.3239	34.3597	152	19	0.3933	7	597.1582	662.2255	1070.8651	187.3056	118857.4219	373578.2812
