Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Channel 1 mean	Nucleus: Channel 1 sum	Nucleus: Channel 1 std dev	Nucleus: Channel 1 max	Nucleus: Channel 1 min	Nucleus: Channel 1 range	Nucleus: Channel 2 mean	Nucleus: Channel 2 sum	Nucleus: Channel 2 std dev	Nucleus: Channel 2 max	Nucleus: Channel 2 min	Nucleus: Channel 2 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
76B_5_merge.tif	d2c6330d-4f9d-4050-bfd4-7de0e9dca14d	Cell		Positive	Annotation	Polygon	907.06	206.9	55	30.8655	0.7255	12.0884	6.9175	0.7934	72	4248	41.8363	123	0	123	22.5424	1330	8.4636	49	9	40	258	58.7109	0.9406	21.3483	15.5042	0.6882	16.6988	36.3595	123	0	35.417	25.9998	142	2	0.385	5.4447	77	0	39.215	28.1405	142	2	0.2095	3	297.6264	306.8191	395.5721	190.4881	40925.875	60524.3672
76B_5_merge.tif	453dece1-d5bd-4c9e-9810-7c08920a8c48	Cell		Positive	Annotation	Polygon	603.96	251.11	57	29.2666	0.8363	11.6593	6.3108	0.8617	62.9333	3776	44.0026	118	0	118	77.75	4665	42.3399	181	25	156	251	57.899	0.9409	21.0347	15.3113	0.6853	14.9249	34.2445	118	0	62.249	38.0908	187	18	0	0	0	0	57.4301	35.4262	187	18	0.2202	4	293.7395	329.2559	482.6906	33.7556	48534.6758	80709.0312
76B_5_merge.tif	2724d303-9c35-4f03-a951-01ff2eb17e0a	Cell		Positive	Annotation	Polygon	570.93	259.49	47	26.2834	0.855	9.9232	5.5213	0.8189	88.58	4429	38.2068	140	0	140	42.72	2136	28.3038	114	8	106	225	54.3683	0.9565	18.7984	14.5947	0.6099	19.69	40.9036	140	0	33.6725	20.3136	114	8	0.4469	5.9795	80	0	31.1453	16.6916	94	11	0.2003	3	231.4631	329.7903	330.8434	33.7556	19926.5	35482.3711
76B_5_merge.tif	b32371ec-3cdf-41e0-9d63-bbc2377a99ed	Cell		Positive	Annotation	Polygon	1026.5	354.81	42	23.3586	0.9673	7.8954	6.7082	0.4391	58.1818	2560	50.246	134	0	134	34.4318	1515	27.6114	110	6	104	203	50.914	0.9841	16.7289	15	0.3145	12.549	33.3204	134	0	39.5882	29.7816	131	5	0	0	0	0	41.0062	30.2791	131	5	0.2	3	237.0305	258.821	261.7823	190.4881	11313.3877	21327.3809
76B_5_merge.tif	87ccc66d-3b74-454c-9264-79209f082af1	Cell		Positive	Annotation	Polygon	272.09	401.67	50	31.2089	0.6451	13.1045	4.7141	0.9212	77.7193	4430	32.8485	112	0	112	27.3333	1558	4.7484	37	18	19	256	59.2913	0.9151	22.1046	13.1993	0.7762	17.1042	35.7072	112	0	33.556	10.9908	84	12	0	0	0	0	35.3119	11.6057	84	12	0.2071	5	167.3969	165.8601	330.8434	37.9537	11519.0654	35482.3711
76B_5_merge.tif	d321e7ad-4ac9-42ee-979d-8133bbaedb0b	Cell		Positive	Annotation	Polygon	251.1	433.36	64	31.6462	0.8031	10.8318	9.2033	0.5176	92.3824	6282	31.6091	136	0	136	67.4559	4587	14.0186	109	35	74	268	59.76	0.943	19.542	18	0.3095	23.4403	43.2758	136	0	57.2425	18.5395	109	16	0	0	0	0	53.77	18.6342	108	16	0.2418	3	72.6588	42.3065	137.7162	37.9537	478.3557	598.7215
76B_5_merge.tif	820e6067-cc9a-4940-a2f1-bf602d928aa0	Cell		Positive	Annotation	Polygon	262.38	473.94	69	41.7239	0.4981	18.876	4.671	0.9707	58.6667	4224	48.0399	123	0	123	26.5556	1912	22.0811	103	10	93	317	70.0059	0.8128	28.2475	13.6825	0.8745	13.2	33.402	123	0	36.0375	34.9491	142	1	0	0	0	0	38.7903	37.4636	142	1	0.2034	4	80.8455	84.5753	111.9248	42.3065	1959.9498	3560.1248
76B_5_merge.tif	c3fe7cb2-1104-4bdf-b24c-e66226aaecfa	Cell		Positive	Annotation	Polygon	343.06	550.8	32	19.961	1	6.708	5.7679	0.5272	65.7941	2237	43.6652	113	0	113	43.8235	1490	15.002	77	23	54	155	45.7125	0.9321	15.6533	12.4129	0.6015	14.1582	33.7119	113	0	39.8734	16.7878	92	16	0	0	0	0	38.7903	17.1423	92	16	0.1917	6	80.7293	84.6226	165.8601	9.4815	2455.8225	6672.2061
76B_5_merge.tif	c29ec807-8d67-4ad7-aec2-b7cd5e4fa90e	Cell		Positive	Annotation	Polygon	436.78	561.01	157	49.3765	0.8092	16.5778	12.9473	0.6866	128.3719	21053	24.268	170	78	92	36.5366	5992	24.9796	111	7	104	440	76.5663	0.9432	25.8697	21.6846	0.5386	48.8284	63.6469	170	0	32.3431	28.4296	180	4	2.0717	12.9901	98	0	29.8781	30.0453	180	4	0.3608	8	264.546	279.4191	501.5614	44.4303	21044.8105	80709.0312
76B_5_merge.tif	cd35ac59-ffd7-46ec-83f0-df4743d2ca25	Cell		Positive	Annotation	Polygon	348.31	560.82	26	18.1678	0.9899	6.2113	5.4133	0.5349	54.8929	1537	49.0822	116	0	116	21.5357	603	11.8868	53	6	47	133	41.7798	0.9575	14.5899	11.425	0.6109	11.3015	31.2747	116	0	21.6176	14.8194	94	6	0	0	0	0	21.6389	15.538	94	6	0.181	4	34.6137	25.5178	77.9377	9.4815	398.5788	1088.9906
