Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Channel 1 mean	Nucleus: Channel 1 sum	Nucleus: Channel 1 std dev	Nucleus: Channel 1 max	Nucleus: Channel 1 min	Nucleus: Channel 1 range	Nucleus: Channel 2 mean	Nucleus: Channel 2 sum	Nucleus: Channel 2 std dev	Nucleus: Channel 2 max	Nucleus: Channel 2 min	Nucleus: Channel 2 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
85E_5_merge.tif	12e7a293-518f-48a2-9997-86e7ebb4f4db	Cell		Positive	Annotation	Polygon	946.38	276.39	51	25.5858	0.979	8.7135	7.5054	0.4067	85.5455	4705	19.3533	117	0	117	192.2182	10572	10.7129	206	162	44	186	49.4554	0.9556	16.8405	13.6636	0.5351	24.6335	40.1849	117	0	182.6126	22.6294	221	131	0	0	0	0	178.7279	24.9404	221	131	0.261	3	149.0654	112.2441	320.5022	14.45	1419.7205	2190.7332
85E_5_merge.tif	ef8a57e9-c5aa-4412-a0fe-e0d84c182813	Cell		Positive	Annotation	Polygon	833.74	282.54	47	25.1932	0.9306	9.0222	7.1207	0.6436	95.9231	4988	42.4813	203	0	203	114.6923	5964	44.9154	190	41	149	222	52.912	0.9964	18.1067	15.9747	0.4354	22.2679	45.3897	203	0	133.5491	52.4602	223	41	0	0	0	0	139.25	53.3522	223	46	0.2203	4	230.0556	210.9492	394.1084	104.2156	23575.916	51931.4102
85E_5_merge.tif	26702476-65b6-49f6-9c30-e5c6efc88056	Cell		Positive	Annotation	Polygon	937.34	290.19	155	47.9739	0.8463	15.8868	13.7136	0.2919	91.0828	14300	25.5152	162	0	162	179.0318	28108	25.079	229	87	142	384	71.3609	0.9476	24.5817	19.5954	0.5724	38.5762	47.4153	162	0	174.6357	27.487	235	87	2.7348	12.8734	71	0	171.6348	28.6839	235	113	0.3972	4	198.045	210.1661	357.3977	14.45	12327.0889	28321.2891
85E_5_merge.tif	93300ecb-0520-4fa1-85a5-365060c0a422	Cell		Positive	Annotation	Polygon	1137.9	534.07	36	21.0315	1	7.5246	5.9762	0.5373	55.3243	2047	46.6161	132	0	132	126.8919	4695	25.9709	180	74	106	187	48.6649	0.9922	16.4457	14	0.4648	10.9465	30.1494	132	0	96.9091	40.0565	180	28	0	0	0	0	89.5133	39.5184	178	28	0.1738	3	271.9778	316.1165	320.5022	179.3147	15256.0117	28321.2891
85E_5_merge.tif	6346e3dd-4555-46a0-b2cd-74b4bf13e181	Cell		Positive	Annotation	Polygon	659.69	538.74	46	24.6702	0.9498	9.2225	6.1619	0.7219	60.1702	2828	32.8761	97	0	97	110.0851	5174	33.3139	193	59	134	212	52.247	0.9759	18.3363	14.9651	0.5654	13.277	29.3268	97	0	106.723	43.561	218	46	0	0	0	0	105.7711	46.0927	218	46	0.2045	4	246.1641	243.5528	350.7946	146.756	28134.4902	51931.4102
85E_5_merge.tif	d8d709f5-1dd3-412c-9847-fb55c8d849a0	Cell		Positive	Annotation	Polygon	994.75	642.23	36	22.744	0.8745	8.7867	5.183	0.8007	49.3846	1926	38.7452	103	0	103	75.8718	2959	26.6746	132	31	101	199	50.7955	0.9692	18.1272	13.6707	0.6344	9.6784	25.9681	103	0	59.809	29.5786	132	5	0	0	0	0	55.8937	28.9952	124	5	0.1779	6	372.791	375.7531	534.6722	179.3147	29619.1484	51931.4102
85E_5_merge.tif	036bd902-3539-4131-8e51-d6e4de4f4186	Cell		Positive	Annotation	Polygon	574.28	657.91	45	25.1461	0.8943	9.8309	5.3666	0.8462	53.5333	2409	47.3169	129	0	129	128.9778	5804	31.3814	220	96	124	213	52.5292	0.97	18.6485	14.3108	0.6468	11.3099	30.7322	129	0	148.5117	38.4677	235	80	0	0	0	0	153.744	38.5833	235	80	0.1973	3	96.8482	105.4542	146.756	38.3344	1602.9738	1848.177
85E_5_merge.tif	91a25bfd-1dab-40c6-ba26-6208ed732bd7	Cell		Positive	Annotation	Polygon	577.83	696.06	33	20.6979	0.968	6.9521	6.2007	0.3574	65.3333	2352	47.4305	131	0	131	150.6111	5422	40.8917	207	69	138	190	48.7269	1	16.1928	14.9788	0.3587	12.3789	32.7962	131	0	145.3263	60.8501	248	33	0	0	0	0	144.0909	64.6787	248	33	0.1735	5	171.4721	139.8707	420.4583	38.3344	10836.418	30623.8828
85E_5_merge.tif	35590e23-8c86-4dc8-aa22-3c8dc26cdc5f	Cell		Positive	Annotation	Polygon	511.09	742.49	57	27.8679	0.9223	10.823	7.2765	0.6981	118.5763	6996	35.3325	171	0	171	120.8136	7128	24.672	181	78	103	241	55.6796	0.9769	19.5354	16	0.5678	29.029	53.9629	171	0	102.2573	20.3039	181	63	0	0	0	0	96.2418	14.2459	127	63	0.2396	3	83.3725	81.2456	105.4542	63.4176	1319.2498	1357.7706
85E_5_merge.tif	1f409c3a-ef2b-47ee-95fd-a534c1617335	Cell		Positive	Annotation	Polygon	483.89	799.6	63	28.4962	0.9749	9.7315	8.223	0.4967	88.7273	5856	19.1822	126	59	67	52.3333	3454	28.2365	131	17	114	245	56.0373	0.9804	18.6067	17	0.2821	23.6129	40.5043	126	0	49.1008	28.6457	131	10	0	0	0	0	47.9286	28.7798	125	10	0.2516	3	245.9868	139.8707	534.6722	63.4176	10176.1299	19071.5312
