Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Channel 1 mean	Nucleus: Channel 1 sum	Nucleus: Channel 1 std dev	Nucleus: Channel 1 max	Nucleus: Channel 1 min	Nucleus: Channel 1 range	Nucleus: Channel 2 mean	Nucleus: Channel 2 sum	Nucleus: Channel 2 std dev	Nucleus: Channel 2 max	Nucleus: Channel 2 min	Nucleus: Channel 2 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
85F_1_merge.tif	8036664e-4f35-4d7f-bec7-e32d9ad62747	Cell		Positive	Annotation	Polygon	814.45	221.53	55	28.5922	0.8454	9.5518	8.352	0.3963	71.9836	4391	22.644	116	0	116	156.3115	9535	23.5411	211	118	93	171	50.8544	0.8309	17.8279	14.9091	0.4323	29.8439	37.6014	116	0	164.6647	25.8635	211	102	6.8929	20.1576	86	0	169.2143	26.0334	209	102	0.3058	5	140.7661	92.0013	487.4202	9.6778	3061.0464	11838.6895
85F_1_merge.tif	5f3b6746-af4e-4b5d-b87d-803e5fa3463f	Cell		Positive	Annotation	Polygon	821.86	232.58	88	41.5048	0.6419	15.9108	9.1612	0.8585	74	6808	20.0954	131	0	131	133.9891	12327	50.2098	211	31	180	266	65.8973	0.7698	25.2775	15.4648	0.79	30.1845	37.5336	131	0	125.4502	56.0532	224	27	7.6648	20.6933	87	0	121.0615	58.4809	224	27	0.3369	5	76.1078	80.8023	191.5086	9.6778	1800.4967	6844.5137
85F_1_merge.tif	11e237ee-1534-451c-b062-8f36a4b22b15	Cell		Positive	Annotation	Polygon	804.55	231.58	55	28.0831	0.8764	9.8834	8.0791	0.4927	73.2881	4324	19.1663	121	0	121	114.6271	6763	23.3725	178	70	108	189	50.4978	0.9314	16.988	14.7892	0.4339	22.4041	35.4531	121	0	117.171	35.2802	199	34	0	0	0	0	118.291	39.4271	199	34	0.2894	4	77.3642	52.7602	191.8314	12.1051	2376.1211	7914.3335
85F_1_merge.tif	13c4d0ff-eb2a-4ccd-8973-cc5cf7071249	Cell		Positive	Annotation	Polygon	328.08	237.92	35	20.7985	1	7.4544	6	0.5478	71.8571	2515	51.7824	147	0	147	106.2	3717	40.0785	189	51	138	179	47.9546	0.9781	16.3349	13.9817	0.4738	14.3	36.5068	147	0	106.5667	35.7573	208	41	0.4069	4.8997	59	0	106.6552	34.7857	208	41	0.1804	4	234.5095	217.8752	487.4202	14.8675	5912.8613	11838.6895
85F_1_merge.tif	6b4f7894-f9b1-43b1-a40e-38acf19f0492	Cell		Positive	Annotation	Polygon	314.25	239.24	35	21.0294	0.9945	7.4679	5.8138	0.5808	75.8611	2731	36.3241	124	0	124	92.0556	3314	28.8315	150	32	118	150	45.1234	0.9258	15.207	11.9805	0.6147	18.3487	36.8949	124	0	73.6908	29.7645	150	28	0.5	5.3852	58	0	67.9914	27.7835	129	28	0.2127	3	22.0474	14.8675	44.1658	7.1089	187.8837	240.9294
85F_1_merge.tif	c78e5292-0a5d-46db-b063-72dfb11a5170	Cell		Positive	Annotation	Polygon	305.28	242.93	8	10.7325	0.8728	4.2639	2.3571	0.7823	67.2	672	40.0993	113	0	113	42	420	5.9067	55	35	20	83	34.4416	0.8793	13.2844	7.6297	0.8052	20.7701	38.2673	113	0	63.2529	20.898	115	33	14.7403	33.8551	113	0	66.013	20.5647	115	33	0.0818	4	174.8835	167.1355	358.1539	7.1089	7441.9438	16422.7031
85F_1_merge.tif	1fc7bb79-3174-4a0d-ad58-907bc54d68aa	Cell		Positive	Annotation	Polygon	899.69	259.75	144	47.6614	0.7966	18.3636	10.8964	0.8096	119.1781	17400	46.8045	223	56	167	169.2534	24711	43.5304	254	77	177	373	71.7857	0.9096	26.1667	19	0.688	52.5882	63.463	223	0	177.2513	37.8909	254	64	9.9474	23.2473	85	0	182.3728	32.8825	245	64	0.3908	5	91.2082	83.8127	247.7701	11.6568	312.2453	474.3942
85F_1_merge.tif	a37cabce-1580-4059-935a-3cf1c937f084	Cell		Positive	Annotation	Polygon	347.38	267.97	42	23.5233	0.9538	8.5018	6.0723	0.6042	69.0909	3040	26.1372	128	0	128	124.4545	5476	37.4703	198	74	124	209	51.6608	0.9841	17.297	15.0849	0.492	14.4762	30.5769	128	0	113.9095	49.1963	213	27	0	0	0	0	111.1145	51.5972	213	27	0.1908	7	187.0193	255.4126	379.1549	35.7704	10933.0732	52363.5547
85F_1_merge.tif	3d989e16-3ea7-4c9d-916f-6c96bf830fec	Cell		Positive	Annotation	Polygon	890.99	270.56	16	13.833	1	4.8655	3.8085	0.633	54.4706	926	14.1073	60	0	60	109.2353	1857	23.5439	148	64	84	98	37.2549	0.8873	13.403	9.6686	0.6843	10.8317	22.6235	60	0	128	37.4016	192	58	2	10.4547	56	0	131.7976	38.6242	192	58	0.1352	4	69.2837	47.9256	169.6269	11.6568	2136.344	6844.5137
85F_1_merge.tif	1eb38287-6f70-4143-8999-48ca04fe55a5	Cell		Positive	Annotation	Polygon	726.32	274.96	40	22.5885	0.9851	7.9717	6.1283	0.4687	88.8372	3820	26.2542	134	0	134	69.4419	2986	21.5543	117	35	82	195	50.1094	0.9759	17.1526	14.6136	0.4621	19.005	38.4519	134	0	55.4527	27.5741	125	13	0	0	0	0	51.6456	27.8586	125	13	0.1881	7	249.1788	178.313	418.7035	90.7825	16541.6133	52363.5547
