Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Channel 1 mean	Nucleus: Channel 1 sum	Nucleus: Channel 1 std dev	Nucleus: Channel 1 max	Nucleus: Channel 1 min	Nucleus: Channel 1 range	Nucleus: Channel 2 mean	Nucleus: Channel 2 sum	Nucleus: Channel 2 std dev	Nucleus: Channel 2 max	Nucleus: Channel 2 min	Nucleus: Channel 2 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
86D_4_merge.tif	408bc013-6dcc-45d5-ae12-97aaf931e29e	Cell		Positive	Annotation	Polygon	788.18	222.84	34	20.501	1	6.8798	6.2529	0.4238	75.6286	2647	64.9466	185	0	185	88.3143	3091	23.1056	143	46	97	183	48.2495	0.9878	15.74	14.9827	0.2333	14.6541	40.9116	185	0	80.6919	27.8481	167	35	0.4267	5.2256	64	0	78.9133	28.6187	167	35	0.1751	4	254.2733	229.2924	360.7292	197.7789	21125.0449	35655.9141
86D_4_merge.tif	1e9c3abb-928e-4e27-9c13-5f79a822d7c8	Cell		Positive	Annotation	Polygon	547.75	259.9	87	41.7414	0.6275	16.6458	7.7538	0.9179	94.0213	8838	33.8482	164	0	164	96.4681	9068	48.0411	206	16	190	345	70.1507	0.881	26.4018	16.7092	0.7765	25.6571	45.4047	164	0	84.6888	46.8766	206	12	0.2569	4.0865	65	0	80.3123	45.7642	194	12	0.2598	5	113.106	54.5082	243.2131	39.5255	1301.3287	3204.5132
86D_4_merge.tif	991ca70e-3c52-4604-b215-802a3da3196e	Cell		Positive	Annotation	Polygon	580.95	281.42	35	21.212	0.9775	7.1377	6.1283	0.5745	62.3947	2371	54.4578	141	0	141	90.5789	3442	46.2453	221	34	187	190	48.9245	0.9975	16.0982	15	0.3376	12.349	34.5796	141	0	79.5312	54.6334	249	22	0	0	0	0	76.8052	56.313	249	22	0.1746	4	139.1144	140.167	236.5979	39.5255	8981.7939	24514.707
86D_4_merge.tif	14652602-fcde-42a2-ba42-8452caabdf07	Cell		Positive	Annotation	Polygon	506.29	296.01	97	42.743	0.6672	16.6883	9.1483	0.8692	86.5446	8741	19.697	127	0	127	153.3861	15492	26.8808	198	103	95	319	67.7619	0.873	24.4711	17.8111	0.6852	27.433	41.7557	127	0	124.6542	43.1466	199	24	0.2955	4.3823	65	0	111.4636	42.8338	199	24	0.3049	4	64.0916	59.3964	121.5688	16.0047	600.0858	934.8031
86D_4_merge.tif	c82b6722-42f2-4a24-abfe-3a4cc5566428	Cell		Positive	Annotation	Polygon	521.32	306.04	64	30.9304	0.8407	12.4864	6.7668	0.839	104.3284	6990	34.6705	187	64	123	158.8955	10646	20.8517	192	97	95	219	54.179	0.9375	19.2675	15.4479	0.552	31.4865	51.6032	187	0	120.4685	47.4362	200	36	0	0	0	0	103.8581	46.0728	200	36	0.2893	5	84.8528	64.9623	221.5892	16.0047	3289.2656	7310.958
86D_4_merge.tif	1f52bb89-b9da-423b-8b74-04f94ec2c5a1	Cell		Positive	Annotation	Polygon	946.53	341.39	31	19.6939	1	6.5353	5.895	0.4434	57.4545	1896	70.6165	211	0	211	83.5758	2758	16.0079	124	66	58	181	47.4467	1	15.311	14.6136	0.029	10.4751	37.1668	211	0	84.5359	25.9349	140	33	0	0	0	0	84.75	27.7052	140	33	0.1644	6	177.035	128.433	406.0965	98.5434	13801.7451	35655.9141
86D_4_merge.tif	ed54644f-23a2-4ef0-87b1-95c043dbda3d	Cell		Positive	Annotation	Polygon	462.53	342.48	35	20.1652	1	6.7264	5.9224	0.3475	61.4571	2151	55.0552	150	0	150	63.5714	2225	15.145	104	43	61	181	47.8088	0.9951	15.7101	14.6135	0.2492	11.7541	33.9657	150	0	71.6776	30.0479	155	23	0	0	0	0	73.5946	32.3335	155	23	0.1712	5	127.2825	69.001	230.0585	61.1173	6509.1499	17721.291
86D_4_merge.tif	09885134-09c1-441a-befa-c26867227823	Cell		Positive	Annotation	Polygon	404.04	360.93	63	32.868	0.7328	13.25	6.0848	0.8853	131.6429	9215	42.557	220	64	156	121.0857	8476	26.92	181	75	106	272	60.909	0.9213	22.0826	15.0821	0.7241	36.2065	61.416	220	0	86.0616	33.2197	181	27	3.7767	16.8346	87	0	74.1602	25.9855	145	27	0.2412	6	160.8947	187.0635	206.1405	61.1173	4249.3794	12678.5693
86D_4_merge.tif	42f51789-208e-4b3f-bedd-dcdc2a284bbd	Cell		Positive	Annotation	Polygon	1017.5	408.07	34	20.036	1	6.7263	5.7797	0.4327	80.9412	2752	35.5254	134	0	134	104.8235	3564	35.5898	181	41	140	151	45.2649	0.9261	15.6764	11.6276	0.6461	18.6954	38.0054	134	0	80.3841	40.1484	193	20	0.6068	6.564	71	0	73.2821	38.7049	193	20	0.1932	4	39.3127	25.041	98.5434	8.6255	466.6021	1427.0647
86D_4_merge.tif	4c16c900-4a7b-4481-a67f-b17f625e7ce4	Cell		Positive	Annotation	Polygon	1027.2	413.06	31	19.8407	0.9896	7.0387	5.355	0.6961	77.4688	2479	30.6394	115	0	115	48.1562	1541	25.0446	105	18	87	134	42.9032	0.9148	14.8014	11.971	0.5882	18.2279	36.1027	115	0	51.3676	43.3415	193	9	0	0	0	0	52.3558	47.6353	193	9	0.216	3	43.7691	15.7713	106.9105	8.6255	84.1199	107.5486
