Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Channel 1 mean	Nucleus: Channel 1 sum	Nucleus: Channel 1 std dev	Nucleus: Channel 1 max	Nucleus: Channel 1 min	Nucleus: Channel 1 range	Nucleus: Channel 2 mean	Nucleus: Channel 2 sum	Nucleus: Channel 2 std dev	Nucleus: Channel 2 max	Nucleus: Channel 2 min	Nucleus: Channel 2 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
90C_2_merge.tif	5b2e8ab5-d019-43b1-af1e-120c1a4346c7	Cell		Positive	Annotation	Polygon	591.9	293.65	522	101.2684	0.6396	40.2091	19.5502	0.8752	79.283	41465	17.021	115	52	63	58.2314	30455	14.5098	111	29	82	993	125.3546	0.7941	47.1417	28.5042	0.8015	43.838	40.7148	115	0	62.1811	29.4834	202	17	4.4798	15.1715	65	0	66.5669	39.5741	202	17	0.5175	3	140.1655	32.3057	359.3784	28.8124	1467.5454	2753.1301
90C_2_merge.tif	fa87b3dd-ebfd-4900-bbde-08e04ab310aa	Cell		Positive	Annotation	Polygon	612.57	315.76	30	21.2799	0.8325	8.7898	4.2427	0.857	49.3939	1630	15.9549	59	0	59	65.1818	2151	28.5027	119	28	91	120	41.3376	0.8825	15.4847	10.7539	0.6983	13.252	23.4446	59	0	62.3252	40.661	187	25	0	0	0	0	61.2778	44.386	187	25	0.2368	4	104.9059	35.8157	335.3278	12.6643	1769.0282	3870.0583
90C_2_merge.tif	a0cf5b31-3b5c-414c-a57a-785048190773	Cell		Positive	Annotation	Polygon	600.9	325.48	231	68.1055	0.6258	26.1812	13.3618	0.8816	67.9874	16181	10.9211	101	52	49	72.0126	17139	25.3426	152	31	121	554	94.8071	0.7745	35.092	20.4172	0.8353	31.0036	34.2755	101	0	63.5931	34.0752	213	25	3.0603	12.4576	57	0	57.2317	38.2377	213	25	0.4213	3	29.7287	32.3057	44.2161	12.6643	226.4622	270.9638
90C_2_merge.tif	bace655e-1067-4252-8fda-2b86102ac42f	Cell		Positive	Annotation	Polygon	640.91	346.59	72	38.4719	0.6113	16.2288	6.7839	0.9217	44.5205	3250	20.9179	58	0	58	30.6301	2236	8.9171	57	20	37	299	65.2662	0.8821	24.9412	15.7894	0.7861	13.4618	23.4198	58	0	43.4485	32.2055	174	16	3.5175	13.2872	55	0	47.5526	35.7178	174	16	0.2398	5	244.9462	300.1517	421.2176	42.819	9127.7891	30259.6387
90C_2_merge.tif	73ddd8dd-f8ee-4cb3-893e-95a9d9f7ad4e	Cell		Positive	Annotation	Polygon	936.97	395.23	62	29.8145	0.8765	10.6453	7.7374	0.6417	62.9403	4217	13.841	85	0	85	33.3881	2237	9.7452	55	15	40	261	58.0817	0.9722	19.9609	16.9706	0.457	16.0342	28.3413	85	0	34.3042	16.5766	91	15	0	0	0	0	34.6173	18.3485	91	15	0.2443	9	274.4487	268.0832	359.3784	211.5704	8808.2754	30259.6387
90C_2_merge.tif	ec353fd4-5d93-41fd-b422-5b439a913480	Cell		Positive	Annotation	Polygon	1205.9	476.62	171	64.2612	0.5204	21.8934	14.1288	0.7483	50.5118	8587	15.9816	64	0	64	24.3941	4147	3.0193	31	18	13	498	87.2729	0.8216	30.4994	23.2444	0.6464	17.5222	25.8211	64	0	22.9093	3.7154	31	13	0.319	4.0667	52	0	22.135	3.8117	31	13	0.3377	2	151.6254	151.6254	280.2917	22.9591	2663.3215	2663.3215
90C_2_merge.tif	bb572903-2741-482c-8ec1-b5e65bfb4200	Cell		Positive	Annotation	Polygon	1187.6	491.22	70	34.1866	0.7527	13.3016	8.0928	0.8115	49.9333	3745	14.9	57	0	57	21.2	1590	3.3692	30	14	16	246	57.2952	0.9417	18.8697	17.3148	0.308	15.7935	24.6875	57	0	21.1457	4.1441	31	11	0.907	6.8272	52	0	21.1221	4.4488	31	11	0.2843	5	102.9371	51.9636	268.0832	22.9591	4562.3315	15994.7471
90C_2_merge.tif	8bfb4d58-40a5-472d-9ed8-3c8f2eed0da4	Cell		Positive	Annotation	Polygon	1164.2	504.88	218	76.3249	0.4703	33.598	8.6072	0.971	55.1106	12455	6.8405	61	0	61	24.5796	5555	4.1607	35	14	21	555	99.1342	0.7097	37.4139	17.5956	0.8794	23.1714	27.5215	61	0	23.9643	4.9699	36	13	1.5599	8.8925	53	0	23.5479	5.4162	36	13	0.3935	3	101.2266	27.8418	251.6628	24.1751	1874.3812	2917.3188
90C_2_merge.tif	7d615aab-88c4-4e1e-a7a4-fc31a4feb839	Cell		Positive	Annotation	Polygon	1141.7	520.79	85	51.2726	0.4063	18.9629	9.2453	0.9224	38.3979	3571	24.7378	58	0	58	26.7742	2490	4.3442	38	13	25	337	76.7046	0.7198	28.2432	17.4964	0.8065	10.7289	21.6221	58	0	26.3819	5.2054	40	11	0.436	4.87	57	0	26.236	5.4923	40	11	0.2585	4	102.2924	71.9495	241.0957	24.1751	3740.1145	10226.6416
90C_2_merge.tif	1ee83e49-5f0d-4636-acb4-731cfa166009	Cell		Positive	Annotation	Polygon	1069.3	573.79	78	35.2083	0.7907	12.1818	10.0337	0.5026	48.825	3906	14.0097	55	0	55	30.35	2428	12.8979	56	9	47	298	63.2122	0.9372	21.0263	18.8562	0.3579	13.2375	22.9185	55	0	26.3846	14.1988	74	6	0.2374	3.5138	52	0	24.9361	14.4023	74	6	0.2641	5	132.417	106.0469	222.4768	91.9353	7729.0117	15994.7471
